CAN  K AE1 N
THERE  DH EH1 R
THEIR  DH EH1 R
HE  HH IY1
THEY  DH EY1
HAVE  HH AE1 V
HOW  HH AW1
WHAT  W AH1 T
WHERE  W EH1 R
WHEN  W EH1 N
WHY  W AY1
UH  AH1
UH-HUH  AH1 HH AH1
UH-OH  AH1 OW2
UHDE  AH1 D
ALL  AO1 L
OF  AH1 V
UNDER  AH1 N D ER0
YOU  Y UW1
WE  W IY1
FORA  F AO1 R AH0
EN  EH1 N
THIS  DH IH1 S
HIS  HH IH1 Z
CREATE  K R IY0 EY1 T
POUT  P AW1 T
JUST  JH AH1 S T
THEN  DH EH1 N
DONE  D AH1 N
DANA  D EY1 N AH0
DOWN  D AW1 N
YOURS  Y UH1 R Z
FORWARD  F AO1 R W ER0 D
FORWARDED  F AO1 R W ER0 D IH0 D
FORWARDER  F AO1 R W ER0 D ER0
FORWARDERS  F AO1 R W ER0 D ER0 Z
FORWARDING  F AO1 R W ER0 D IH0 NG
FORWARDS  F AO1 R W ER0 D Z
CENTER  S EH1 N T ER0
CENTRE  S EH1 N T ER0
JOE  JH OW1
JOY  JH OY1
